game_date,team_id_home,team_id_away,season,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,home_win,pts_gotten_h,pts_allowed_h,fg_pct_gotten_h,fg_pct_allowed_h,ft_pct_gotten_h,ft_pct_allowed_h,fg3_pct_gotten_h,fg3_pct_allowed_h,ast_gotten_h,ast_allowed_h,reb_gotten_h,reb_allowed_h,wins_gotten_h,wins_allowed_h,pts_gotten_a,pts_allowed_a,fg_pct_gotten_a,fg_pct_allowed_a,ft_pct_gotten_a,ft_pct_allowed_a,fg3_pct_gotten_a,fg3_pct_allowed_a,ast_gotten_a,ast_allowed_a,reb_gotten_a,reb_allowed_a,wins_gotten_a,wins_allowed_a
2021-05-10,ATL,WAS,2020,125.0,0.479,0.885,0.333,23.0,55.0,124.0,0.51,0.818,0.5,28.0,42.0,1,114.15,112.05,0.47925000000000006,0.47865,0.8025499999999999,0.7889999999999999,0.38960000000000006,0.34669999999999995,23.65,24.65,44.25,41.95,13.0,7.0,123.8,117.75,0.49685000000000007,0.4684500000000001,0.78835,0.7758499999999999,0.37405,0.34764999999999996,27.5,25.4,47.8,43.45,15.0,5.0
2021-05-10,MEM,NOP,2020,115.0,0.495,0.593,0.3,33.0,49.0,110.0,0.443,0.667,0.435,29.0,50.0,1,116.3,116.05,0.47125000000000006,0.46325000000000005,0.7673499999999999,0.80795,0.3646,0.37555,27.1,25.6,47.15,46.05,10.0,10.0,114.75,114.1,0.46719999999999995,0.45905000000000007,0.7191499999999998,0.78345,0.31500000000000006,0.36535,26.1,24.6,50.1,44.7,10.0,10.0
2021-05-10,SAS,MIL,2020,146.0,0.596,0.81,0.586,27.0,46.0,125.0,0.5,0.783,0.317,26.0,34.0,1,110.6,112.7,0.4631,0.47234999999999994,0.80465,0.73675,0.32860000000000006,0.362,24.55,23.8,42.85,47.8,8.0,12.0,122.4,116.25,0.49205000000000015,0.454,0.78725,0.78975,0.3882,0.38370000000000004,25.55,24.9,48.4,43.65,13.0,7.0
2021-05-10,GSW,UTA,2020,119.0,0.466,0.92,0.333,26.0,41.0,116.0,0.451,0.875,0.295,14.0,48.0,1,115.2,110.15,0.4789,0.4468,0.7865500000000001,0.7666999999999999,0.387,0.33775,27.95,23.4,43.85,46.25,12.0,8.0,116.7,107.1,0.4784999999999999,0.44595,0.8197499999999998,0.7440000000000001,0.3828999999999999,0.3341,24.6,22.15,47.95,42.3,13.0,7.0
2021-05-10,POR,HOU,2020,140.0,0.511,0.8,0.45,30.0,47.0,129.0,0.494,0.964,0.474,30.0,44.0,1,117.7,111.5,0.46235,0.45694999999999997,0.8039999999999999,0.7981499999999999,0.38560000000000005,0.35874999999999996,23.05,24.4,47.3,44.7,10.0,10.0,111.0,122.15,0.45550000000000007,0.496,0.7241500000000001,0.7906,0.35005,0.40305,24.65,27.7,43.9,46.55,3.0,17.0
2021-05-10,CLE,IND,2020,102.0,0.355,0.767,0.333,21.0,50.0,111.0,0.5,0.75,0.407,32.0,47.0,0,106.35,115.05,0.46040000000000003,0.5032500000000001,0.7883,0.7851,0.34310000000000007,0.37715,25.85,28.35,41.0,42.55,4.0,16.0,121.65,121.65,0.48545000000000005,0.46959999999999996,0.8253,0.7798999999999998,0.36619999999999997,0.3447,27.75,26.85,44.15,50.65,10.0,10.0
2021-05-09,ORL,MIN,2020,96.0,0.396,0.682,0.25,20.0,45.0,128.0,0.485,0.75,0.356,30.0,57.0,0,104.1,117.5,0.42990000000000006,0.48640000000000005,0.7687499999999999,0.7928,0.31120000000000003,0.38675,19.95,27.0,42.55,49.15,5.0,15.0,117.35,120.65,0.46279999999999993,0.49190000000000006,0.7685000000000001,0.766,0.36439999999999995,0.41615,26.45,28.1,43.55,43.3,9.0,11.0
2021-05-09,LAL,PHX,2020,123.0,0.488,0.78,0.433,24.0,41.0,110.0,0.534,0.84,0.44,23.0,32.0,1,105.2,107.95,0.4513,0.4734,0.7277499999999999,0.8170999999999999,0.35940000000000005,0.35595,24.1,23.5,41.85,42.85,7.0,13.0,117.55,112.6,0.49144999999999994,0.4868,0.8275499999999999,0.7997,0.3668,0.3994999999999999,26.45,24.45,42.2,42.0,15.0,5.0
2021-05-09,DET,CHI,2020,96.0,0.456,0.591,0.407,22.0,37.0,108.0,0.512,0.714,0.375,27.0,43.0,0,106.55,111.95,0.46909999999999996,0.47315000000000007,0.7431,0.76915,0.3538,0.34504999999999997,24.05,23.9,43.55,44.4,6.0,14.0,107.1,107.25,0.4766000000000001,0.47050000000000003,0.7741999999999999,0.80235,0.36395000000000005,0.36545,28.15,24.7,44.5,41.5,9.0,11.0
2021-05-09,SAC,OKC,2020,126.0,0.529,0.833,0.444,30.0,51.0,98.0,0.391,0.655,0.297,23.0,38.0,1,110.7,116.8,0.47599999999999987,0.49345000000000006,0.7777499999999999,0.7713500000000001,0.35955,0.3518,24.45,25.1,38.15,47.3,7.0,13.0,102.45,122.3,0.4252999999999999,0.48815,0.6958,0.80235,0.31344999999999995,0.39015,21.4,28.55,47.1,47.15,1.0,19.0
