date,home,away,ou,spread,ml_home,ml_away,ou_home,ou_away,points_total,home_margin
2021-05-10,POR,HOU,239.5,-15.0,-1600,900,127.25,112.25,269,11
2021-05-10,GSW,UTA,226.5,2.0,105,-125,112.25,114.25,235,3
2021-05-10,SAS,MIL,233.5,7.0,250,-300,113.25,120.25,271,21
2021-05-10,MEM,NOP,228.5,-9.5,-500,400,119.0,109.5,225,5
2021-05-10,CLE,IND,228.5,9.5,375,-450,109.5,119.0,213,-9
2021-05-10,ATL,WAS,237.0,-8.5,-350,290,122.75,114.25,249,1
2021-05-09,CHA,NOP,224.0,-3.0,-155,135,113.5,110.5,222,-2
2021-05-09,BOS,MIA,222.0,-1.0,-110,-110,111.5,110.5,254,-6
2021-05-09,LAC,NYK,215.0,-7.5,-350,290,111.25,103.75,206,-6
2021-05-09,CLE,DAL,218.0,10.5,450,-600,103.75,114.25,221,-27
2021-05-09,LAL,PHX,217.0,6.5,210,-250,105.25,111.75,233,13
2021-05-09,ORL,MIN,232.5,7.5,250,-300,112.5,120.0,224,-32
2021-05-09,DET,CHI,216.5,9.5,375,-450,103.5,113.0,204,-12
2021-05-09,SAC,OKC,224.0,-9.5,-450,375,116.75,107.25,224,28
2021-05-08,DEN,BKN,232.0,4.0,145,-165,114.0,118.0,244,-6
2021-05-08,PHI,DET,216.5,-9.5,-500,400,113.0,103.5,222,14
2021-05-08,TOR,MEM,225.5,6.5,220,-260,109.5,116.0,208,-10
2021-05-08,IND,WAS,250.5,4.0,160,-180,123.25,127.25,265,-1
2021-05-08,GSW,OKC,222.5,-13.0,-1250,800,117.75,104.75,233,39
2021-05-08,UTA,HOU,225.5,-16.0,-2500,1100,120.75,104.75,240,8
2021-05-08,POR,SAS,233.0,-6.0,-240,200,119.5,113.5,226,22
2021-05-07,DAL,CLE,217.0,-10.5,-600,450,113.75,103.25,200,20
2021-05-07,PHI,NOP,223.5,-11.5,-800,550,117.5,106.0,216,2
2021-05-07,MIL,HOU,233.0,-17.5,-4000,1400,125.25,107.75,274,8
2021-05-07,CHA,ORL,214.0,-7.5,-310,260,110.75,103.25,234,10
2021-05-07,MIA,MIN,228.5,-8.0,-340,280,118.25,110.25,233,9
2021-05-07,CHI,BOS,226.0,4.0,155,-175,111.0,115.0,220,22
2021-05-07,PHX,NYK,217.0,-6.5,-265,225,111.75,105.25,233,23
2021-05-07,UTA,DEN,215.0,-4.5,-180,160,109.75,105.25,247,7
2021-05-07,SAC,SAS,223.5,4.5,170,-190,109.5,114.0,217,-9
2021-05-07,POR,LAL,223.0,-7.5,-330,270,115.25,107.75,207,5
2021-05-06,LAC,LAL,212.0,-8.5,-380,320,110.25,101.75,212,24
2021-05-06,GSW,OKC,225.0,-13.5,-1350,825,119.25,105.75,215,21
2021-05-06,IND,ATL,238.5,6.0,205,-245,116.25,122.25,259,7
2021-05-06,DET,MEM,222.5,9.0,375,-450,106.75,115.75,208,14
2021-05-06,TOR,WAS,235.5,2.0,115,-135,116.75,118.75,260,-2
2021-05-06,DAL,BKN,235.5,3.0,130,-150,116.25,119.25,222,4
2021-05-06,CHA,CHI,219.0,4.5,160,-180,107.25,111.75,219,-21
2021-05-05,HOU,PHI,220.5,14.5,850,-1500,103.0,117.5,250,-20
2021-05-05,ORL,BOS,221.0,12.5,625,-950,104.25,116.75,228,-36
2021-05-05,CLE,POR,226.5,12.0,600,-900,107.25,119.25,246,-36
2021-05-05,ATL,PHX,227.0,1.0,-105,-115,113.0,114.0,238,32
2021-05-05,MIN,MEM,237.5,3.5,140,-160,117.0,120.5,274,-4
2021-05-05,IND,SAC,239.0,-6.0,-250,210,122.5,116.5,197,-11
2021-05-05,UTA,SAS,219.0,-7.0,-280,240,113.0,106.0,220,32
2021-05-05,DEN,NYK,214.5,-3.5,-160,140,109.0,105.5,210,16
2021-05-05,MIL,WAS,243.0,-4.0,-175,155,123.5,119.5,269,1
2021-05-04,CLE,PHX,220.0,12.5,700,-1100,103.75,116.25,252,-16
2021-05-04,MIA,DAL,216.5,0.0,-110,-110,108.25,108.25,240,-14
2021-05-04,NOP,GSW,235.0,-2.0,-130,110,118.5,116.5,211,5
2021-05-04,OKC,SAC,227.0,5.5,180,-210,110.75,116.25,202,-4
2021-05-04,MIL,BKN,242.5,-2.0,-125,105,122.25,120.25,242,6
2021-05-04,DET,CHA,218.0,4.0,160,-180,107.0,111.0,201,-3
