date,home,away,season,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,home_win,pts_gotten_h,pts_allowed_h,fg_pct_gotten_h,fg_pct_allowed_h,ft_pct_gotten_h,ft_pct_allowed_h,fg3_pct_gotten_h,fg3_pct_allowed_h,ast_gotten_h,ast_allowed_h,reb_gotten_h,reb_allowed_h,wins_gotten_h,wins_allowed_h,pts_gotten_a,pts_allowed_a,fg_pct_gotten_a,fg_pct_allowed_a,ft_pct_gotten_a,ft_pct_allowed_a,fg3_pct_gotten_a,fg3_pct_allowed_a,ast_gotten_a,ast_allowed_a,reb_gotten_a,reb_allowed_a,wins_gotten_a,wins_allowed_a,ou,spread,ml_home,ml_away,ou_home,ou_away,points_total,home_margin
2012-10-30,CLE,WAS,2012,94.0,0.456,0.682,0.35,22.0,54.0,84.0,0.356,0.6,0.25,26.0,39.0,True,89.75,102.8,0.4117,0.48405,0.7510000000000001,0.7271500000000001,0.32075,0.37505,18.85,22.95,40.8,44.65,4.0,16.0,93.2,91.95,0.4483499999999999,0.4441,0.7537,0.7755500000000001,0.32045,0.3175,20.9,19.5,41.75,40.65,9.0,11.0,190.5,-6.0,-250,210,98.25,92.25,178,10
2012-10-30,LAL,DAL,2012,91.0,0.494,0.387,0.231,24.0,46.0,99.0,0.471,0.778,0.333,22.0,40.0,False,96.9,100.3,0.43495,0.4573499999999999,0.76505,0.7450999999999999,0.32635,0.3485,21.75,20.9,46.2,43.7,10.0,10.0,97.25,99.55,0.4455999999999999,0.4545999999999999,0.8072999999999999,0.7313,0.3609499999999999,0.3761,19.0,21.7,42.3,42.8,8.0,12.0,186.5,-8.5,-500,400,97.5,89.0,190,-8
2012-10-30,MIA,BOS,2012,120.0,0.544,0.813,0.5,25.0,36.0,107.0,0.52,0.821,0.462,24.0,41.0,True,97.4,92.25,0.4585,0.43695,0.7419,0.7662,0.3277,0.2977,17.35,16.5,40.95,39.15,13.0,7.0,89.5,88.5,0.4387999999999999,0.4290999999999999,0.7910000000000001,0.7220000000000001,0.27455,0.3299999999999999,19.8,18.15,39.85,42.2,11.0,9.0,187.5,-6.5,-280,240,97.0,90.5,227,13
2012-10-31,CHI,SAC,2012,93.0,0.418,0.758,0.222,21.0,46.0,87.0,0.405,0.813,0.353,14.0,40.0,True,89.7,85.65,0.42675,0.4044,0.6843999999999999,0.76735,0.3370499999999999,0.2833,23.0,16.6,48.75,40.1,11.0,9.0,101.65,107.3,0.4565,0.4805500000000001,0.6961499999999999,0.76105,0.29585,0.3626000000000001,20.95,24.7,42.25,45.55,5.0,15.0,191.0,-6.5,-275,235,98.75,92.25,180,6
2012-10-31,DET,HOU,2012,96.0,0.443,0.769,0.375,21.0,36.0,105.0,0.494,0.739,0.37,28.0,45.0,False,91.05,94.1,0.4405,0.437,0.7279,0.76275,0.34915,0.31205,17.8,22.55,41.55,43.7,9.0,11.0,99.1,98.3,0.4425,0.4550499999999999,0.7655,0.7823500000000001,0.36605,0.3320999999999999,22.35,19.4,42.95,43.2,10.0,10.0,194.0,-2.5,-135,115,98.25,95.75,201,-9
2012-10-31,LAC,MEM,2012,101.0,0.514,0.69,0.333,25.0,39.0,92.0,0.384,0.8,0.143,24.0,44.0,True,94.75,95.45,0.4641,0.4521499999999999,0.6657000000000001,0.7400500000000001,0.39175,0.33235,18.7,20.05,38.25,41.05,10.0,10.0,93.65,89.9,0.44435,0.4410999999999999,0.7689500000000001,0.73705,0.3049499999999999,0.32945,18.15,17.6,41.7,38.2,14.0,6.0,188.0,-4.5,-175,155,96.25,91.75,193,9
2012-10-31,NOP,SAS,2012,95.0,0.438,0.913,0.235,26.0,43.0,99.0,0.475,0.654,0.3,22.0,43.0,False,91.4,92.1,0.4738500000000001,0.4350499999999999,0.7647,0.75495,0.3561000000000001,0.3081,20.4,21.65,40.65,38.95,10.0,10.0,106.55,96.9,0.4983499999999999,0.44765,0.7671000000000001,0.75405,0.4222,0.34705,24.0,19.4,42.1,40.7,16.0,4.0,186.5,7.0,255,-305,89.75,96.75,194,-4
2012-10-31,PHI,DEN,2012,84.0,0.353,0.81,0.28,18.0,47.0,75.0,0.375,0.455,0.222,19.0,54.0,True,90.2,90.9,0.4276,0.4412999999999999,0.7341,0.7682,0.3318,0.3417,20.4,22.55,42.25,43.5,11.0,9.0,103.2,97.45,0.4721999999999999,0.44365,0.7163499999999999,0.72445,0.3429,0.36895,24.0,21.9,43.6,42.2,12.0,8.0,197.5,2.0,110,-130,97.75,99.75,159,9
2012-10-31,PHX,GSW,2012,85.0,0.4,0.773,0.19,16.0,44.0,87.0,0.384,0.696,0.294,19.0,49.0,False,102.9,101.75,0.46885,0.46365,0.75975,0.7793,0.33055,0.3411,22.1,21.2,41.5,43.55,10.0,10.0,97.0,103.8,0.4606,0.46195,0.7689000000000001,0.7483500000000001,0.3826999999999999,0.381,22.5,24.3,38.25,46.2,3.0,17.0,202.0,-2.0,-140,120,102.0,100.0,172,-2
2012-10-31,POR,LAL,2012,116.0,0.506,0.821,0.45,19.0,30.0,106.0,0.5,0.813,0.444,21.0,45.0,True,97.9,102.35,0.4407,0.4832000000000001,0.80885,0.7953,0.3724,0.3961,20.1,22.25,39.0,42.75,7.0,13.0,96.55,101.05,0.4372,0.4605499999999999,0.75525,0.7562,0.314,0.33805,21.8,20.7,45.5,44.05,9.0,11.0,192.0,2.0,115,-135,95.0,97.0,222,10
2012-10-31,TOR,IND,2012,88.0,0.363,0.842,0.353,18.0,42.0,90.0,0.474,0.688,0.455,22.0,46.0,False,90.3,91.7,0.44165,0.43405,0.7886500000000001,0.7245999999999999,0.3342,0.2999999999999999,20.65,21.4,44.0,39.4,8.0,12.0,96.9,92.85,0.4274999999999999,0.43035,0.7837000000000001,0.7388,0.3506,0.3144,18.35,17.9,45.8,41.85,13.0,7.0,190.0,1.0,100,-120,94.5,95.5,178,-2
2012-10-31,UTA,DAL,2012,113.0,0.427,0.738,0.429,24.0,61.0,94.0,0.376,0.731,0.5,20.0,40.0,True,98.3,100.15,0.4403,0.4555,0.7483500000000001,0.7747,0.3245,0.3654,21.05,21.0,46.6,40.6,9.0,11.0,97.7,100.05,0.4458499999999999,0.4584,0.8061999999999999,0.71315,0.3618,0.3733499999999999,19.2,22.05,42.15,43.15,8.0,12.0,194.5,-8.0,-400,330,101.25,93.25,207,19
2012-11-01,SAS,OKC,2012,86.0,0.443,0.688,0.263,27.0,39.0,84.0,0.377,0.826,0.412,18.0,48.0,True,105.15,96.55,0.4926999999999999,0.44725,0.7595000000000001,0.7647,0.4181500000000001,0.3445,23.8,19.6,42.25,41.05,16.0,4.0,101.25,97.25,0.4661499999999999,0.44085,0.81735,0.7988999999999999,0.3499,0.3723499999999999,18.0,17.75,39.75,40.4,13.0,7.0,204.0,-2.0,-130,110,103.0,101.0,170,2
2012-11-02,ATL,HOU,2012,102.0,0.471,0.882,0.318,23.0,36.0,109.0,0.422,0.862,0.267,22.0,58.0,False,97.5,91.45,0.46765,0.4507499999999999,0.79415,0.74495,0.34435,0.3492499999999999,22.5,19.25,40.95,40.45,12.0,8.0,99.0,97.9,0.4427999999999999,0.4518999999999999,0.7654,0.7770500000000001,0.36205,0.3320999999999999,22.55,19.55,43.2,43.45,10.0,10.0,203.0,-5.0,-220,180,104.0,99.0,211,-7
2012-11-02,BOS,MIL,2012,88.0,0.446,0.81,0.357,22.0,36.0,99.0,0.465,0.917,0.444,26.0,46.0,False,91.15,90.35,0.4453,0.4359,0.7936000000000001,0.7293000000000001,0.2976500000000001,0.3374999999999999,19.95,18.6,39.85,41.5,11.0,9.0,101.8,99.45,0.4602499999999999,0.44365,0.7282,0.7918499999999999,0.3492,0.32865,24.5,21.0,44.1,44.85,10.0,10.0,196.5,-7.0,-330,270,101.75,94.75,187,-11
2012-11-02,CHA,IND,2012,90.0,0.365,0.875,0.368,18.0,41.0,89.0,0.398,0.593,0.269,19.0,52.0,True,85.9,101.35,0.4105999999999999,0.4824,0.7408500000000001,0.7489,0.28765,0.33095,19.95,24.5,38.0,44.05,0.0,20.0,96.2,92.35,0.4277999999999999,0.42575,0.7806,0.74145,0.35335,0.3249,18.45,17.5,45.9,41.9,13.0,7.0,183.0,7.0,250,-300,88.0,95.0,179,1
2012-11-02,CLE,CHI,2012,86.0,0.405,0.519,0.4,23.0,33.0,115.0,0.638,0.767,0.4,34.0,41.0,False,90.2,101.85,0.4145,0.4774,0.7494000000000002,0.7271500000000001,0.3186999999999999,0.3612499999999999,19.0,23.0,41.3,44.45,5.0,15.0,90.2,86.45,0.4263,0.4062,0.6818000000000001,0.76515,0.3398,0.2873,22.95,16.55,48.4,40.25,11.0,9.0,184.0,3.0,130,-150,90.5,93.5,201,-29
2012-11-02,GSW,MEM,2012,94.0,0.45,0.706,0.5,21.0,36.0,104.0,0.455,0.824,0.462,22.0,40.0,False,97.0,103.55,0.4582,0.4637,0.7566500000000002,0.7536500000000002,0.3815,0.37385,22.55,24.1,38.5,46.3,4.0,16.0,93.4,90.85,0.4404,0.4467,0.7707,0.73405,0.28855,0.335,18.35,18.0,41.8,38.15,13.0,7.0,192.0,1.5,-102,-108,95.25,96.75,198,-10
2012-11-02,LAL,LAC,2012,95.0,0.5,0.714,0.438,15.0,38.0,105.0,0.452,0.778,0.364,24.0,37.0,False,96.7,102.0,0.43685,0.46355,0.7614000000000001,0.7638999999999998,0.3128500000000001,0.34585,21.6,20.65,45.5,43.55,8.0,12.0,94.8,95.15,0.46635,0.45095,0.65495,0.7356,0.39275,0.3163999999999999,18.85,20.2,38.35,41.3,10.0,10.0,191.5,2.0,110,-130,94.75,96.75,200,-10
2012-11-02,MIN,SAC,2012,92.0,0.368,0.722,0.118,17.0,53.0,80.0,0.36,0.813,0.188,17.0,43.0,True,97.35,105.4,0.4286,0.4752,0.7807000000000001,0.7589499999999999,0.32585,0.3259999999999999,20.05,22.95,41.65,44.8,4.0,16.0,100.9,106.8,0.4564500000000001,0.4778000000000001,0.70825,0.7577499999999999,0.30015,0.3649,20.25,24.6,41.5,45.6,5.0,15.0,195.5,-3.0,-150,130,99.25,96.25,172,12
2012-11-02,NOP,UTA,2012,88.0,0.457,0.643,0.357,23.0,42.0,86.0,0.412,0.5,0.357,19.0,44.0,True,91.3,92.55,0.46695,0.4393499999999999,0.7706500000000001,0.7564,0.34785,0.3138500000000001,20.65,21.85,40.85,39.0,9.0,11.0,99.85,100.15,0.44215,0.4508999999999999,0.754,0.7684000000000001,0.33095,0.37705,21.1,20.8,47.2,40.7,10.0,10.0,191.5,3.5,145,-165,94.0,97.5,174,2
2012-11-02,NYK,MIA,2012,104.0,0.429,0.867,0.528,27.0,41.0,84.0,0.465,0.846,0.35,18.0,41.0,True,95.4,95.25,0.45085,0.45185,0.7249000000000001,0.7268000000000001,0.3746,0.3526,18.5,18.3,39.05,41.35,11.0,9.0,99.05,93.15,0.4651499999999999,0.4416,0.74825,0.7727499999999999,0.3448,0.30945,17.6,16.9,40.75,39.05,14.0,6.0,198.5,6.0,220,-260,96.25,102.25,188,20
2012-11-02,OKC,POR,2012,106.0,0.513,0.719,0.556,18.0,47.0,92.0,0.36,0.792,0.346,17.0,44.0,True,100.5,96.65,0.4609499999999999,0.4412,0.81615,0.7933000000000001,0.35175,0.3627499999999999,18.05,18.35,40.35,40.25,12.0,8.0,98.85,103.0,0.44475,0.48535,0.7999,0.8011500000000001,0.3749,0.3995499999999999,19.95,22.2,38.6,42.95,7.0,13.0,204.5,-8.5,-450,350,106.5,98.0,198,14
2012-11-02,ORL,DEN,2012,102.0,0.488,0.722,0.333,24.0,46.0,89.0,0.381,0.667,0.269,22.0,45.0,True,91.8,96.75,0.42275,0.47755,0.7184,0.7722500000000001,0.3494,0.3514499999999999,18.5,20.7,40.7,41.6,6.0,14.0,102.35,96.95,0.4698499999999999,0.4351999999999999,0.70275,0.72975,0.339,0.35795,23.7,21.65,44.7,42.5,12.0,8.0,197.0,6.0,210,-250,95.5,101.5,191,13
