GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0041000101,1610612741,Bulls,CHI,Chicago,240:00,115.5,115.6,109.4,112.5,6.0,3.1,0.5,1.2,13.9,0.521,0.688,0.604,16.652,16.7,0.476,0.541,1.0,0.198,90.28,89.0,74.17,90,0.541
0041000101,1610612754,Pacers,IND,Indiana,240:00,109.4,112.5,115.5,115.6,-6.0,-3.1,0.538,1.75,16.9,0.313,0.479,0.396,13.263,13.6,0.524,0.541,1.0,0.195,90.28,89.0,74.17,88,0.459
0041000102,1610612741,Bulls,CHI,Chicago,240:00,96.0,99.0,91.9,93.8,4.1,5.2,0.469,0.68,11.1,0.481,0.78,0.625,22.009,22.7,0.416,0.49,1.0,0.198,98.92,96.5,80.42,97,0.529
0041000102,1610612754,Pacers,IND,Indiana,240:00,91.9,93.8,96.0,99.0,-4.1,-5.2,0.688,1.22,17.1,0.22,0.519,0.375,18.39,18.8,0.455,0.506,1.0,0.196,98.92,96.5,80.42,96,0.471
0041000103,1610612741,Bulls,CHI,Chicago,240:00,97.9,101.1,92.4,96.6,5.5,4.6,0.714,1.25,16.7,0.348,0.611,0.49,17.802,18.4,0.451,0.525,1.0,0.2,90.4,87.0,72.5,87,0.562
0041000103,1610612754,Pacers,IND,Indiana,240:00,92.4,96.6,97.9,101.1,-5.5,-4.6,0.333,1.0,9.4,0.389,0.652,0.51,12.099,12.6,0.385,0.442,1.0,0.2,90.4,87.0,72.5,87,0.438
0041000104,1610612741,Bulls,CHI,Chicago,240:00,91.7,94.4,95.7,101.1,-4.0,-6.8,0.613,1.36,15.1,0.373,0.618,0.5,15.291,15.7,0.396,0.454,1.0,0.195,92.26,88.5,73.75,89,0.525
0041000104,1610612754,Pacers,IND,Indiana,240:00,95.7,101.1,91.7,94.4,4.0,6.8,0.387,0.86,10.0,0.382,0.627,0.5,15.06,15.9,0.424,0.474,1.0,0.195,92.26,88.5,73.75,88,0.475
0041000105,1610612741,Bulls,CHI,Chicago,240:00,115.0,124.7,95.2,95.7,19.7,29.0,0.675,1.93,19.9,0.378,0.696,0.538,13.878,15.1,0.566,0.611,1.0,0.198,97.16,93.0,77.5,93,0.683
0041000105,1610612754,Pacers,IND,Indiana,240:00,95.2,95.7,115.0,124.7,-19.7,-29.0,0.483,0.67,11.6,0.304,0.622,0.462,22.474,22.6,0.439,0.521,1.0,0.195,97.16,93.0,77.5,93,0.317
0041000111,1610612748,Heat,MIA,Miami,240:00,107.6,110.2,100.5,102.3,7.1,7.9,0.484,1.07,12.5,,,,15.528,15.9,0.446,0.532,1.0,0.198,89.38,87.5,72.92,88,0.551
