model,threshold,dollars,lower_odds
0,-5,389.1131035820237,-110
0,-5.5,-2605.0603196909487,-110
0,-4,1209.8105886247113,-110
0,-4.5,-2310.868816458694,-110
0,-3,3044.9073404753385,-110
0,-3.5,2110.693405982115,-110
0,-2,8113.180847606964,-110
0,-2.5,5505.052115326692,-110
0,-1,6733.809146986769,-110
0,-1.5,9281.443410413116,-110
0,0,3306.9856635972415,-110
0,0.5,2856.983619125386,-110
0,1,995.9170730344757,-110
0,1.5,-627.4914158169923,-110
0,2,-594.2427720445694,-110
0,2.5,48.024090546070624,-110
0,3,628.3020729998029,-110
0,3.5,1367.158570142729,-110
0,4,1416.3722943722946,-110
0,4.5,1940.44329004329,-110
0,5,1362.8008658008657,-110
0,5.5,749.6623376623377,-110
0,6,480.43290043290034,-110
0,6.5,133.69696969696963,-110
0,7,26.277056277056246,-110
0,7.5,-155.77056277056278,-110
0,8,-56.77056277056278,-110
0,8.5,-27.81818181818182,-110
0,9,8.0,-110
0,9.5,-30.0,-110
0,10,-11.0,-110
0,-5,581.6366887933541,-105
0,-5.5,-2411.404659007912,-105
0,-4,1444.1523556542072,-105
0,-4.5,-2067.436140338278,-105
0,-3,3166.0758656523126,-105
0,-3.5,2259.580627557047,-105
0,-2,8213.727067915432,-105
0,-2.5,5541.275865652328,-105
0,-1,6627.768746369,-105
0,-1.5,9259.039373431706,-105
0,0,3301.96806966267,-105
0,0.5,2925.2030685213135,-105
0,1,1009.5910678849459,-105
0,1.5,-557.4537846028893,-105
0,2,-564.5101517237144,-105
0,2.5,-110.9420413612385,-105
0,3,567.517759274312,-105
0,3.5,1242.7378927808747,-105
0,4,1317.7983193277312,-105
0,4.5,1890.9602240896359,-105
0,5,1364.6190476190475,-105
0,5.5,720.5714285714284,-105
0,6,429.5238095238094,-105
0,6.5,137.3333333333333,-105
0,7,48.095238095238074,-105
0,7.5,-153.95238095238096,-105
0,8,-54.95238095238096,-105
0,8.5,-26.0,-105
0,9,28.0,-105
0,9.5,-10.0,-105
0,10,9.0,-105
0,-5,183.60000000000002,100
0,-5.5,-2801.8,100
0,-4,1371.8000000000002,100
0,-4.5,-2303.3999999999996,100
0,-3,3359.8,100
0,-3.5,2331.4,100
0,-2,7965.599999999999,100
0,-2.5,5295.0,100
0,-1,6780.000000000001,100
0,-1.5,9045.0,100
0,0,3393.0,100
0,0.5,2875.6,100
0,1,1169.8,100
0,1.5,-303.40000000000003,100
0,2,-253.99999999999994,100
0,2.5,145.60000000000002,100
0,3,851.9999999999999,100
0,3.5,1398.6,100
0,4,1462.0,100
0,4.5,1910.4,100
0,5,1497.0,100
0,5.5,832.0,100
0,6,540.0,100
0,6.5,264.0,100
0,7,210.0,100
0,7.5,-13.0,100
0,8,26.0,100
0,8.5,14.0,100
0,9,28.0,100
0,9.5,-10.0,100
0,10,9.0,100
0,-5,1128.6,105
0,-5.5,-1817.4000000000005,105
0,-4,2116.7999999999997,105
0,-4.5,-1338.4000000000003,105
0,-3,4246.8,105
0,-3.5,3157.2,105
0,-2,8415.400000000001,105
0,-2.5,6063.799999999999,105
0,-1,7192.0,105
0,-1.5,9255.0,105
0,0,3666.6,105
0,0.5,3170.3999999999996,105
0,1,1447.7999999999997,105
0,1.5,-25.000000000000018,105
0,2,-114.40000000000003,105
0,2.5,245.59999999999994,105
0,3,731.9999999999999,105
0,3.5,1078.6,105
0,4,1202.0,105
0,4.5,1590.4,105
0,5,1297.0,105
0,5.5,692.0,105
0,6,320.0,105
0,6.5,84.0,105
0,7,90.0,105
0,7.5,-73.0,105
0,8,-14.0,105
0,8.5,-46.0,105
0,9,-32.0,105
0,9.5,-70.0,105
0,10,-51.0,105
0,-5,2022.1999999999998,110
0,-5.5,-914.8000000000001,110
0,-4,2193.3999999999996,110
0,-4.5,-997.8000000000002,110
0,-3,3637.3999999999996,110
0,-3.5,2972.8,110
0,-2,7709.2,110
0,-2.5,5360.199999999999,110
0,-1,6795.599999999999,110
0,-1.5,8631.6,110
0,0,3629.3999999999996,110
0,0.5,2911.4,110
0,1,1137.4,110
0,1.5,-138.39999999999998,110
0,2,-236.60000000000002,110
